iata,name,city,country_code,type,scheduled_service,iso_region,ident,label
AUH,Zayed International Airport,Abu Dhabi,AE,,,,,"Abu Dhabi — Zayed International Airport (AUH), AE"
AAN,Al Ain International Airport,Al Ain,AE,,,,,"Al Ain — Al Ain International Airport (AAN), AE"
ZDY,Delma Airport,Delma Island,AE,,,,,"Delma Island — Delma Airport (ZDY), AE"
DXB,Dubai International Airport,Dubai,AE,,,,,"Dubai — Dubai International Airport (DXB), AE"
DWC,Al Maktoum International Airport,Dubai(Jebel Ali),AE,,,,,"Dubai(Jebel Ali) — Al Maktoum International Airport (DWC), AE"
FJR,Fujairah International Airport,Fujairah,AE,,,,,"Fujairah — Fujairah International Airport (FJR), AE"
RKT,Ras Al Khaimah International Airport,Ras Al Khaimah,AE,,,,,"Ras Al Khaimah — Ras Al Khaimah International Airport (RKT), AE"
SHJ,Sharjah International Airport,Sharjah,AE,,,,,"Sharjah — Sharjah International Airport (SHJ), AE"
FBD,Fayzabad Airport,Fayzabad,AF,,,,,"Fayzabad — Fayzabad Airport (FBD), AF"
HEA,Herat - Khwaja Abdullah Ansari International Airport,Guzara,AF,,,,,"Guzara — Herat - Khwaja Abdullah Ansari International Airport (HEA), AF"
KBL,Kabul International Airport,Kabul,AF,,,,,"Kabul — Kabul International Airport (KBL), AF"
KDH,Ahmad Shah Baba International Airport / Kandahar Airfield,Khvoshab,AF,,,,,"Khvoshab — Ahmad Shah Baba International Airport / Kandahar Airfield (KDH), AF"
MMZ,Maymana Zahiraddin Faryabi Airport,Maymana,AF,,,,,"Maymana — Maymana Zahiraddin Faryabi Airport (MMZ), AF"
MZR,Mazar-i-Sharif International Airport,Mazar-i-Sharif,AF,,,,,"Mazar-i-Sharif — Mazar-i-Sharif International Airport (MZR), AF"
BBQ,Codrington Airport,Codrington,AG,,,,,"Codrington — Codrington Airport (BBQ), AG"
ANU,V. C. Bird International Airport,Osbourn,AG,,,,,"Osbourn — V. C. Bird International Airport (ANU), AG"
AXA,Clayton J. Lloyd International Airport,The Valley,AI,,,,,"The Valley — Clayton J. Lloyd International Airport (AXA), AI"
TIA,Tirana International Airport Mother Teresa,Rinas,AL,,,,,"Rinas — Tirana International Airport Mother Teresa (TIA), AL"
LWN,Shirak International Airport,Gyumri,AM,,,,,"Gyumri — Shirak International Airport (LWN), AM"
EVN,Zvartnots International Airport,Yerevan,AM,,,,,"Yerevan — Zvartnots International Airport (EVN), AM"
CAB,Cabinda Airport,Cabinda,AO,,,,,"Cabinda — Cabinda Airport (CAB), AO"
CBT,Catumbela Airport,Catumbela,AO,,,,,"Catumbela — Catumbela Airport (CBT), AO"
DUE,Dundo Airport,Chitato,AO,,,,,"Chitato — Dundo Airport (DUE), AO"
NOV,Albano Machado Airport,Huambo,AO,,,,,"Huambo — Albano Machado Airport (NOV), AO"
LAD,Quatro de Fevereiro International Airport,Luanda,AO,,,,,"Luanda — Quatro de Fevereiro International Airport (LAD), AO"
SDD,Lubango Mukanka International Airport,Lubango,AO,,,,,"Lubango — Lubango Mukanka International Airport (SDD), AO"
MEG,Malanje Airport,Malanje,AO,,,,,"Malanje — Malanje Airport (MEG), AO"
SSY,Mbanza Congo Airport,Mbanza Congo,AO,,,,,"Mbanza Congo — Mbanza Congo Airport (SSY), AO"
SPP,Menongue Airport,Menongue,AO,,,,,"Menongue — Menongue Airport (SPP), AO"
MSZ,Welwitschia Mirabilis International Airport,Moçâmedes,AO,,,,,"Moçâmedes — Welwitschia Mirabilis International Airport (MSZ), AO"
